baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,8.725,8.075,-0.65,-2.0421,0.7583,0,0,120,-0.0752,negligible,0.168,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,1.0417,1.0667,0.025,-0.0333,0.0833,0,0,120,0.0168,negligible,0.482,,False,,,"Wilcoxon signed-rank, normal approximation",7,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,8.2833,7.5333,-0.75,-2.0333,0.4333,0,0,120,-0.0745,negligible,0.203,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,8.3722,7.4667,-0.9056,-2.1861,0.278,0,0,120,-0.0874,negligible,0.109,,False,,,"Wilcoxon signed-rank, normal approximation",100,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,11.675,10.8583,-0.8167,-2.6919,1.0587,0,0,120,-0.0679,negligible,0.168,,False,,,"Wilcoxon signed-rank, normal approximation",101,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,3.49,3.23,-0.26,-0.8168,0.3033,0,0,120,-0.0752,negligible,0.173,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,19.084,19.3866,0.3025,-0.1765,0.8153,39,52,28,0.1015,negligible,0.359,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",91,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_llm_ttft,time to first token (ms),runtime,lower,119,864.0168,862.042,-1.9748,-11.4815,8.6397,65,53,1,-0.0607,negligible,0.517,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,967.4202,961.2437,-6.1765,-22.2521,9.3716,61,57,1,-0.0529,negligible,0.496,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_llm_eval,generation time (ms),runtime,lower,119,120.4874,111.3445,-9.1429,-22.4384,4.9508,67,51,1,-0.0818,negligible,0.107,0.967,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,172.7647,168.6807,-4.084,-21.0342,12.4884,62,56,1,-0.0411,negligible,0.583,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_ttfa,time to first audio (ms),runtime,lower,119,1520.8067,1510.1345,-10.6723,-41.8254,19.0683,57,62,0,-0.0215,negligible,0.603,1.0,False,True,100.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_tts_total,total synthesis (ms),runtime,lower,119,191.605,180.605,-11.0,-31.8918,11.2061,65,53,1,-0.077,negligible,0.206,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7619.6807,7614.1261,-5.5546,-28.2905,17.3546,53,64,2,0.0012,negligible,0.986,1.0,False,True,100.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,101.2546,99.963,-1.2916,-5.3617,2.6122,54,65,0,-0.0982,negligible,0.39,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7473.1597,7474.4538,1.2941,-0.6641,3.37,0,0,119,0.0021,negligible,0.133,,False,,,"Wilcoxon signed-rank, normal approximation",110,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,376.0924,375.8235,-0.2689,-1.0504,0.5464,0,0,119,-0.0023,negligible,0.488,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,103.4034,99.2017,-4.2017,-15.7664,6.95,0,0,119,-0.0399,negligible,0.465,,False,,,"Wilcoxon signed-rank, normal approximation",117,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,322.5042,322.5042,0.0,0.0,0.0,0,0,119,0.0,negligible,1.0,,False,,,Wilcoxon signed-rank (all differences zero),0,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,llm_eval_tokens,generated tokens,runtime,descriptive,119,12.3613,11.3866,-0.9748,-2.5296,0.6807,0,0,119,-0.0941,negligible,0.111,,False,,,"Wilcoxon signed-rank, normal approximation",109,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,3387.1429,3124.2521,-262.8908,-746.1597,244.2712,0,0,119,-0.0722,negligible,0.226,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::answers_in_english,check: answers_in_english,adherence,higher,31,1.0,0.9355,-0.0645,-0.1613,0.0,0,2,29,,n/a,0.5,1.0,False,,,"McNemar, exact binomial",2,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.9417,0.9167,-0.025,-0.0833,0.0417,7,10,103,,n/a,0.629,1.0,False,,,"McNemar, exact binomial",17,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.3667,0.4583,0.0917,-0.0167,0.2,28,17,75,,n/a,0.136,1.0,False,,,"McNemar, chi-square with continuity correction",45,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.8583,0.7833,-0.075,-0.1667,0.0167,13,22,85,,n/a,0.176,1.0,False,,,"McNemar, chi-square with continuity correction",35,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::response_is_complete,check: response_is_complete,adherence,higher,120,0.9,0.8417,-0.0583,-0.1333,0.0167,7,14,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,02 llama3.2:1b-q4_K_M t0.7/s42,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
