baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1153,0.0949,-0.0204,-0.0607,0.0166,6,9,105,-0.0356,negligible,0.346,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",15,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0464,0.0396,-0.0069,-0.0196,0.0057,8,16,96,-0.0366,negligible,0.236,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",24,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,56.235,59.9365,3.7015,0.4467,6.8749,55,41,24,0.064,negligible,0.0297,0.297,False,False,2.0,"Wilcoxon signed-rank, normal approximation",96,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,7.777,7.4386,-0.3384,-0.8237,0.148,52,44,24,-0.0396,negligible,0.239,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",96,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,13.0167,14.85,1.8333,0.6583,2.95,0,0,120,0.1754,small,0.00136,,False,,,"Wilcoxon signed-rank, normal approximation",87,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,1.4333,1.5167,0.0833,-0.025,0.1833,0,0,120,0.0744,negligible,0.128,,False,,,"Wilcoxon signed-rank, normal approximation",36,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,9.5833,9.7167,0.1333,-0.575,0.8087,0,0,120,0.028,negligible,0.611,,False,,,"Wilcoxon signed-rank, normal approximation",83,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,9.5028,10.2194,0.7167,0.1458,1.2875,0,0,120,0.1329,negligible,0.0384,,False,,,"Wilcoxon signed-rank, normal approximation",85,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,17.325,19.7917,2.4667,0.9163,3.9169,0,0,120,0.1753,small,0.00119,,False,,,"Wilcoxon signed-rank, normal approximation",87,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,5.2067,5.94,0.7333,0.2633,1.18,0,0,120,0.1754,small,0.00142,,False,,,"Wilcoxon signed-rank, normal approximation",87,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,37.8151,37.2857,-0.5294,-1.042,0.0168,59,37,23,-0.0604,negligible,0.0254,0.178,False,True,5.0,"Wilcoxon signed-rank, normal approximation",96,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_llm_ttft,time to first token (ms),runtime,lower,119,767.5966,776.8487,9.2521,-0.8935,19.0263,50,69,0,0.116,negligible,0.0843,0.498,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,948.8235,958.6218,9.7983,-5.933,26.0256,52,65,2,0.078,negligible,0.122,0.498,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_llm_eval,generation time (ms),runtime,lower,119,263.6218,293.1681,29.5462,9.0803,50.795,48,70,1,0.1457,negligible,0.00586,0.0528,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,188.3613,184.0504,-4.3109,-15.7737,7.0265,57,60,2,-0.0205,negligible,0.904,0.904,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_ttfa,time to first audio (ms),runtime,lower,119,1517.3361,1522.4034,5.0672,-19.9838,30.8912,55,64,0,0.0133,negligible,0.382,0.764,False,True,100.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_tts_total,total synthesis (ms),runtime,lower,119,249.3445,270.5798,21.2353,2.0565,40.5805,48,69,2,0.1325,negligible,0.00683,0.0547,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7645.9244,7659.0336,13.1092,-4.7658,31.7754,52,65,2,0.008,negligible,0.0829,0.498,False,True,100.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,66.8118,67.3563,0.5445,-0.5731,1.6286,68,48,3,0.1376,negligible,0.133,0.498,False,True,5.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7470.6723,7472.1933,1.521,-0.6891,3.7819,0,0,119,0.002,negligible,0.186,,False,,,"Wilcoxon signed-rank, normal approximation",113,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.7563,375.395,-0.3613,-1.0924,0.2859,0,0,119,-0.0038,negligible,0.483,,False,,,"Wilcoxon signed-rank, normal approximation",84,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,181.2269,181.7731,0.5462,-11.2191,12.7405,0,0,119,0.015,negligible,0.63,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,326.5042,326.5042,0.0,0.0,0.0,0,0,119,0.0,negligible,1.0,,False,,,Wilcoxon signed-rank (all differences zero),0,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,llm_eval_tokens,generated tokens,runtime,descriptive,119,17.6723,19.7563,2.084,0.6721,3.5042,0,0,119,0.1453,negligible,0.00367,,False,,,"Wilcoxon signed-rank, normal approximation",85,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,4746.395,5155.5126,409.1176,-5.7786,817.7256,0,0,119,0.1257,negligible,0.0479,,False,,,"Wilcoxon signed-rank, normal approximation",117,descriptive
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::answers_in_english,check: answers_in_english,adherence,higher,101,1.0,0.9901,-0.0099,-0.0297,0.0,0,1,100,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.4167,0.4083,-0.0083,-0.075,0.05,7,8,105,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",15,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.1083,0.1083,0.0,-0.0585,0.0583,7,7,106,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",14,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.6833,0.725,0.0417,-0.025,0.1167,12,7,101,,n/a,0.359,1.0,False,,,"McNemar, exact binomial",19,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::response_is_complete,check: response_is_complete,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,16 qwen2.5:7b-q4_K_M t0.7/s42,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
