baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1013,0.101,-0.0003,-0.0508,0.0499,14,10,96,0.016,negligible,0.966,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",24,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0551,0.0681,0.0131,-0.0193,0.0467,23,12,85,0.0303,negligible,0.229,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,57.8159,61.042,3.2261,-5.6335,12.9076,51,45,24,0.0005,negligible,0.66,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",96,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,7.2757,6.4399,-0.8357,-2.2059,0.4436,52,44,24,-0.0256,negligible,0.293,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",96,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,word_count,words,response,descriptive,120,8.725,7.0917,-1.6333,-2.8083,-0.4167,0,0,120,-0.1231,negligible,0.00837,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,1.0417,1.0333,-0.0083,-0.0667,0.0417,0,0,120,-0.0003,negligible,0.821,,False,,,"Wilcoxon signed-rank, normal approximation",8,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,8.2833,6.8667,-1.4167,-2.4502,-0.375,0,0,120,-0.1156,negligible,0.00561,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,8.3722,6.8208,-1.5514,-2.6543,-0.4676,0,0,120,-0.1247,negligible,0.00545,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,11.675,9.5,-2.175,-3.7335,-0.5581,0,0,120,-0.1208,negligible,0.0092,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,3.49,2.8367,-0.6533,-1.1233,-0.1667,0,0,120,-0.1231,negligible,0.00837,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,19.084,18.8992,-0.1849,-0.7815,0.395,46,48,25,-0.0093,negligible,0.573,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",94,equivalent
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,864.0168,816.7479,-47.2689,-57.2779,-36.4527,96,22,1,-0.5565,large,9.45e-12,6.62e-11,True,False,50.0,"Wilcoxon signed-rank, normal approximation",118,improved
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,967.4202,913.3277,-54.0924,-69.8931,-39.0748,84,34,1,-0.421,medium,9.99e-09,5.99e-08,True,False,50.0,"Wilcoxon signed-rank, normal approximation",118,improved
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_llm_eval,generation time (ms),runtime,lower,119,120.4874,104.8824,-15.605,-28.5294,-3.2412,69,48,2,-0.1099,negligible,0.031,0.124,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,172.7647,161.8908,-10.8739,-25.3639,3.0452,70,48,1,-0.0656,negligible,0.037,0.124,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_ttfa,time to first audio (ms),runtime,lower,119,1520.8067,2996.4454,1475.6387,1394.7838,1560.6994,0,119,0,0.7331,large,2.92e-21,2.62e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_tts_total,total synthesis (ms),runtime,lower,119,191.605,167.4118,-24.1933,-42.1523,-6.3943,73,45,1,-0.1212,negligible,0.00461,0.023,True,True,50.0,"Wilcoxon signed-rank, normal approximation",118,improved
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7619.6807,8814.6555,1194.9748,1156.771,1231.7187,0,119,0,0.4685,medium,2.92e-21,2.62e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,101.2546,101.6303,0.3756,-4.1845,4.8194,59,60,0,-0.0446,negligible,0.85,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7473.1597,7681.1765,208.0168,201.3103,215.0252,0,0,119,0.0888,negligible,2.91e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,376.0924,1916.4118,1540.3193,1462.0053,1619.8832,0,0,119,0.735,large,2.92e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,103.4034,96.5798,-6.8235,-18.0443,3.5296,0,0,119,-0.0514,negligible,0.114,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,322.5042,322.3445,-0.1597,-0.3445,0.0252,0,0,119,-0.0189,negligible,0.122,,False,,,"Wilcoxon signed-rank, normal approximation",50,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,llm_eval_tokens,generated tokens,runtime,descriptive,119,12.3613,10.5966,-1.7647,-3.1345,-0.4116,0,0,119,-0.1024,negligible,0.0222,,False,,,"Wilcoxon signed-rank, normal approximation",86,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,3387.1429,2957.0336,-430.1092,-825.2345,-33.6275,0,0,119,-0.0799,negligible,0.0285,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::answers_in_english,check: answers_in_english,adherence,higher,29,1.0,1.0,0.0,0.0,0.0,0,0,29,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.9417,0.9917,0.05,0.0167,0.0917,6,0,114,,n/a,0.0312,0.531,False,,,"McNemar, exact binomial",6,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.3667,0.45,0.0833,-0.0083,0.175,21,11,88,,n/a,0.112,1.0,False,,,"McNemar, chi-square with continuity correction",32,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.8583,0.875,0.0167,-0.0583,0.0917,12,10,98,,n/a,0.832,1.0,False,,,"McNemar, exact binomial",22,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::response_is_complete,check: response_is_complete,adherence,higher,120,0.9,0.8833,-0.0167,-0.0917,0.0583,9,11,100,,n/a,0.824,1.0,False,,,"McNemar, exact binomial",20,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
01 llama3.2:1b-q4_K_M t0,25 llama3.2:1b-q4_K_M t0,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
