baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,226.0084,240.7983,14.7899,-4.1851,32.0952,55,64,0,0.1047,negligible,0.176,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_ttfa,time to first audio (ms),runtime,lower,119,1652.4454,1677.8824,25.437,-13.3931,61.0004,54,65,0,0.0292,negligible,0.353,1.0,False,True,100.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_tts_total,total synthesis (ms),runtime,lower,119,281.7983,324.3782,42.5798,11.8901,74.2113,57,62,0,0.1044,negligible,0.0549,0.384,False,False,50.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7702.0756,7741.6134,39.5378,8.3193,72.125,65,54,0,0.0084,negligible,0.275,1.0,False,True,100.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,85.9303,89.2571,3.3269,1.3409,5.3892,71,48,0,0.2346,small,0.000994,0.00894,True,False,5.0,"Wilcoxon signed-rank, normal approximation",119,improved
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7471.7899,7471.9916,0.2017,-1.5462,2.0004,0,0,119,0.0006,negligible,0.729,,False,,,"Wilcoxon signed-rank, normal approximation",113,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.9412,375.605,-0.3361,-1.1092,0.4454,0,0,119,-0.0036,negligible,0.431,,False,,,"Wilcoxon signed-rank, normal approximation",96,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,180.6891,186.2101,5.521,-10.9756,21.7653,0,0,119,0.0466,negligible,0.767,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,322.5042,322.5042,0.0,0.0,0.0,0,0,119,0.0,negligible,1.0,,False,,,Wilcoxon signed-rank (all differences zero),0,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,llm_eval_tokens,generated tokens,runtime,descriptive,119,20.8908,23.8739,2.9832,0.5038,5.4622,0,0,119,0.0955,negligible,0.0638,,False,,,"Wilcoxon signed-rank, normal approximation",108,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,5556.3613,6414.0924,857.7311,132.2689,1649.3975,0,0,119,0.0756,negligible,0.129,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::answers_in_english,check: answers_in_english,adherence,higher,83,0.988,0.988,0.0,-0.0361,0.0361,1,1,81,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",2,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.6333,0.6583,0.025,-0.0667,0.1167,17,14,89,,n/a,0.719,1.0,False,,,"McNemar, chi-square with continuity correction",31,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.1583,0.1,-0.0583,-0.1333,0.0167,7,14,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.85,0.8333,-0.0167,-0.0917,0.0583,11,13,96,,n/a,0.839,1.0,False,,,"McNemar, exact binomial",24,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::response_is_complete,check: response_is_complete,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,04 llama3.2:3b-q4_K_M t0.7/s42,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
