baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1369,0.2215,0.0846,0.032,0.1388,26,11,83,0.1237,negligible,0.00283,0.0226,True,False,0.02,"Wilcoxon signed-rank, normal approximation",37,improved
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0461,0.0823,0.0362,0.0171,0.057,36,15,69,0.1211,negligible,0.000715,0.00715,True,False,0.02,"Wilcoxon signed-rank, normal approximation",51,improved
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,56.7426,56.5312,-0.2113,-4.5909,4.1408,55,57,8,-0.0158,negligible,0.992,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",112,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,7.4587,7.4524,-0.0063,-0.6752,0.6693,54,58,8,0.0069,negligible,0.955,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",112,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,word_count,words,response,descriptive,120,17.425,17.6667,0.2417,-1.3173,1.75,0,0,120,0.0514,negligible,0.703,,False,,,"Wilcoxon signed-rank, normal approximation",104,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,2.075,2.125,0.05,-0.0669,0.1583,0,0,120,0.0477,negligible,0.4,,False,,,"Wilcoxon signed-rank, normal approximation",47,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,5.3667,5.0083,-0.3583,-0.7917,0.0667,0,0,120,-0.0945,negligible,0.0457,,False,,,"Wilcoxon signed-rank, normal approximation",77,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,8.5083,8.3639,-0.1444,-0.8111,0.5084,0,0,120,0.0276,negligible,0.81,,False,,,"Wilcoxon signed-rank, normal approximation",104,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,23.3583,23.6167,0.2583,-1.8419,2.3006,0,0,120,0.049,negligible,0.765,,False,,,"Wilcoxon signed-rank, normal approximation",104,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,6.97,7.0667,0.0967,-0.5269,0.7,0,0,120,0.0514,negligible,0.688,,False,,,"Wilcoxon signed-rank, normal approximation",104,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,103.2017,104.5294,1.3277,0.2099,2.4792,39,55,25,0.0657,negligible,0.0495,0.247,False,True,5.0,"Wilcoxon signed-rank, normal approximation",94,equivalent
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,821.9916,785.8487,-36.1429,-46.6305,-25.587,90,28,1,-0.4803,large,1.75e-09,1.22e-08,True,True,50.0,"Wilcoxon signed-rank, normal approximation",118,improved
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,1102.1345,1069.916,-32.2185,-54.5303,-9.6994,77,42,0,-0.2068,small,0.000398,0.00239,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_llm_eval,generation time (ms),runtime,lower,119,879.2689,886.4286,7.1597,-75.9424,83.6693,60,59,0,0.0599,negligible,0.667,1.0,False,False,50.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,133.9412,133.3277,-0.6134,-8.6324,7.0803,60,57,2,-0.0318,negligible,0.806,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_ttfa,time to first audio (ms),runtime,lower,119,1616.3782,3127.3782,1511.0,1423.6214,1594.2422,0,119,0,0.7365,large,2.92e-21,2.63e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_tts_total,total synthesis (ms),runtime,lower,119,380.5714,364.8992,-15.6723,-64.2046,22.8261,63,56,0,0.0295,negligible,0.842,1.0,False,False,50.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,8137.4286,9576.6555,1439.2269,1319.4895,1547.5689,2,117,0,0.5278,large,1.18e-20,9.44e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,27.3227,27.4605,0.1378,0.0033,0.2672,60,51,8,0.1538,small,0.0593,0.247,False,True,5.0,"Wilcoxon signed-rank, normal approximation",111,equivalent
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7471.9832,7684.1176,212.1345,204.4113,219.6985,0,0,119,0.088,negligible,2.91e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,376.0336,1919.3782,1543.3445,1464.7471,1623.0452,0,0,119,0.7349,large,2.92e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,280.1429,284.0672,3.9244,-16.6821,24.1382,0,0,119,-0.0003,negligible,0.723,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,326.5042,326.5126,0.0084,-0.1683,0.1933,0,0,119,-0.0042,negligible,0.934,,False,,,"Wilcoxon signed-rank, normal approximation",51,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,llm_eval_tokens,generated tokens,runtime,descriptive,119,23.9916,24.2857,0.2941,-1.9748,2.3613,0,0,119,0.0664,negligible,0.548,,False,,,"Wilcoxon signed-rank, normal approximation",103,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,7045.1681,6804.7899,-240.3782,-1340.5296,606.5878,0,0,119,0.0704,negligible,0.523,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::answers_in_english,check: answers_in_english,adherence,higher,110,0.9455,0.9636,0.0182,-0.0273,0.0636,5,3,102,,n/a,0.727,1.0,False,,,"McNemar, exact binomial",8,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.7333,0.8917,0.1583,0.075,0.25,25,6,89,,n/a,0.00123,0.0208,True,,,"McNemar, chi-square with continuity correction",31,improved
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,0.9917,-0.0083,-0.025,0.0,0,1,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.7,0.725,0.025,-0.075,0.125,20,17,83,,n/a,0.742,1.0,False,,,"McNemar, chi-square with continuity correction",37,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.975,1.0,0.025,0.0,0.0583,3,0,117,,n/a,0.25,1.0,False,,,"McNemar, exact binomial",3,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::response_is_complete,check: response_is_complete,adherence,higher,120,0.9917,1.0,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,36 qwen2.5:32b-q4_K_M t0,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
