group_kind,group_id,varying,baseline,contrast,n_paired,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
parameters,gemma3:27b-it-q4_K_M_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,120,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
parameters,gemma3:27b-it-q4_K_M_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,120,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,0.9833,-0.0167,-0.0417,0.0,0,2,118,,n/a,0.5,1.0,False,,,"McNemar, exact binomial",2,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0833,0.1417,0.0583,-0.0167,0.1333,14,7,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0833,0.1417,0.0583,-0.0167,0.1333,14,7,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9033,0.9033,-0.0,-0.0108,0.0108,16,13,91,0.0236,negligible,0.944,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",29,equivalent
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9033,0.905,0.0017,-0.0083,0.0125,16,12,92,0.0317,negligible,0.662,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",28,equivalent
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,request_coverage,coverage of recognized request,response,higher,120,0.4972,0.4854,-0.0118,-0.0621,0.0339,61,54,5,-0.0188,negligible,0.732,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,intent_coverage,coverage of intended question,response,higher,120,0.3916,0.3928,0.0012,-0.044,0.041,46,46,28,-0.0058,negligible,0.736,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",92,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,echo_ratio,echo of the question,response,lower,120,0.1946,0.1769,-0.0178,-0.0414,0.0038,60,55,5,-0.0951,negligible,0.4,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,answer_presence,reference answer present,response,higher,120,0.075,0.0917,0.0167,-0.025,0.0667,5,3,112,,n/a,0.727,1.0,False,,,"McNemar, exact binomial",8,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,reference_token_f1,token F1 vs reference,response,higher,120,0.0276,0.0317,0.0041,-0.0041,0.0133,26,21,73,0.0079,negligible,0.4,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",47,equivalent
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.152,0.1748,0.0228,-0.0259,0.0747,17,14,89,0.0105,negligible,0.398,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",31,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0297,0.0338,0.0041,-0.0035,0.0122,27,20,73,0.0108,negligible,0.391,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",47,equivalent
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,flesch_reading_ease,reading ease,response,higher,120,54.0382,53.4716,-0.5667,-3.4708,2.5796,57,63,0,-0.0128,negligible,0.419,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",120,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,flesch_kincaid_grade,grade level,response,lower,120,9.3979,9.3976,-0.0003,-0.622,0.5704,56,63,1,-0.0116,negligible,0.558,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",119,no detected change
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,word_count,words,response,descriptive,120,31.6167,32.95,1.3333,-0.7169,3.6419,0,0,120,0.1004,negligible,0.0845,,False,,,"Wilcoxon signed-rank, normal approximation",117,descriptive
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,sentence_count,sentences,response,descriptive,120,2.1833,2.3667,0.1833,0.0417,0.3167,0,0,120,0.1507,small,0.0125,,False,,,"Wilcoxon signed-rank, normal approximation",53,descriptive
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,opening_words,opening sentence length,response,descriptive,120,14.0,12.0583,-1.9417,-3.6419,-0.3165,0,0,120,-0.1235,negligible,0.0372,,False,,,"Wilcoxon signed-rank, normal approximation",105,descriptive
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,mean_words_per_sentence,words per sentence,response,descriptive,120,14.7958,14.4764,-0.3194,-1.416,0.7515,0,0,120,-0.0497,negligible,0.896,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
parameters,llama3.1:8b-instruct-fp16_vosk-small-en-us-0.15-cpu,"decoding settings (temperature, seed)",09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,120,estimated_tokens,estimated tokens,response,descriptive,120,42.1417,43.9417,1.8,-0.9587,4.8919,0,0,120,0.0992,negligible,0.085,,False,,,"Wilcoxon signed-rank, normal approximation",117,descriptive
