baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,17.325,15.7417,-1.5833,-3.1504,0.0169,0,0,120,-0.0901,negligible,0.0931,,False,,,"Wilcoxon signed-rank, normal approximation",94,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,5.2067,4.7167,-0.49,-0.9603,-0.01,0,0,120,-0.0905,negligible,0.0609,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,37.8151,37.7731,-0.042,-0.6891,0.6218,52,47,20,-0.0156,negligible,0.999,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",99,equivalent
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,767.5966,725.6303,-41.9664,-51.6775,-31.9187,98,21,0,-0.5471,large,1.43e-11,1e-10,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,948.8235,900.2857,-48.5378,-65.8328,-31.1582,85,34,0,-0.3549,medium,8.07e-07,4.84e-06,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_llm_eval,generation time (ms),runtime,lower,119,263.6218,241.5882,-22.0336,-40.9916,-1.2941,63,54,2,-0.1169,negligible,0.108,0.432,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,188.3613,183.5126,-4.8487,-18.2525,8.8576,64,53,2,-0.0157,negligible,0.569,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_ttfa,time to first audio (ms),runtime,lower,119,1517.3361,3007.6555,1490.3193,1411.175,1571.2811,0,119,0,0.7332,large,2.92e-21,2.62e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_tts_total,total synthesis (ms),runtime,lower,119,249.3445,234.7311,-14.6134,-33.0758,4.017,64,53,2,-0.0769,negligible,0.338,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7645.9244,8880.6723,1234.7479,1194.6034,1274.3966,0,119,0,0.4789,large,2.92e-21,2.62e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,66.8118,67.4429,0.6311,-0.4456,1.7017,68,48,3,0.1383,negligible,0.0751,0.376,False,True,5.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7470.6723,7683.8319,213.1597,206.3105,220.1271,0,0,119,0.0909,negligible,2.91e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.7563,1918.9916,1543.2353,1465.3227,1622.3357,0,0,119,0.7352,large,2.92e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,181.2269,174.6555,-6.5714,-20.5481,8.0676,0,0,119,-0.0813,negligible,0.409,,False,,,"Wilcoxon signed-rank, normal approximation",117,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,326.5042,326.5126,0.0084,-0.1683,0.1933,0,0,119,-0.0042,negligible,0.934,,False,,,"Wilcoxon signed-rank, normal approximation",51,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,llm_eval_tokens,generated tokens,runtime,descriptive,119,17.6723,16.3445,-1.3277,-2.6305,0.0422,0,0,119,-0.1031,negligible,0.0884,,False,,,"Wilcoxon signed-rank, normal approximation",92,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,4746.395,4265.7311,-480.6639,-876.8336,-76.6363,0,0,119,-0.0999,negligible,0.0656,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::answers_in_english,check: answers_in_english,adherence,higher,89,1.0,0.9888,-0.0112,-0.0337,0.0,0,1,88,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.4167,0.6833,0.2667,0.175,0.3583,36,4,80,,n/a,9.51e-07,1.61e-05,True,,,"McNemar, chi-square with continuity correction",40,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.1083,0.1417,0.0333,-0.0333,0.1083,12,8,100,,n/a,0.503,1.0,False,,,"McNemar, exact binomial",20,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.6833,0.9,0.2167,0.15,0.2917,26,0,94,,n/a,9.44e-07,1.61e-05,True,,,"McNemar, chi-square with continuity correction",26,improved
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::response_is_complete,check: response_is_complete,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
15 qwen2.5:7b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
