baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.0877,0.1337,0.046,-0.0044,0.0959,20,8,92,0.0843,negligible,0.078,0.468,False,False,0.02,"Wilcoxon signed-rank, normal approximation",28,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0399,0.0652,0.0253,0.0055,0.0472,22,12,86,0.0851,negligible,0.0251,0.176,False,False,0.02,"Wilcoxon signed-rank, normal approximation",34,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,55.9592,55.5563,-0.4028,-5.1392,4.8693,47,51,22,-0.0249,negligible,0.994,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",98,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,8.6127,8.6149,0.0022,-0.8952,0.8187,48,50,22,0.0185,negligible,0.973,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",98,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,word_count,words,response,descriptive,120,15.8667,14.8167,-1.05,-2.8252,0.7921,0,0,120,-0.0979,negligible,0.312,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,1.2667,1.1833,-0.0833,-0.175,0.0167,0,0,120,-0.0894,negligible,0.0882,,False,,,"Wilcoxon signed-rank, normal approximation",34,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,12.75,12.5667,-0.1833,-1.5669,1.2252,0,0,120,-0.0213,negligible,0.75,,False,,,"Wilcoxon signed-rank, normal approximation",90,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,12.7125,12.4958,-0.2167,-1.5084,1.1169,0,0,120,-0.0485,negligible,0.573,,False,,,"Wilcoxon signed-rank, normal approximation",92,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,21.2417,19.8083,-1.4333,-3.7917,1.0083,0,0,120,-0.099,negligible,0.287,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,6.3467,5.9267,-0.42,-1.1301,0.3168,0,0,120,-0.0979,negligible,0.331,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,28.0756,27.8655,-0.2101,-0.7565,0.3363,50,45,24,-0.0655,negligible,0.522,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",95,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,865.5882,826.7983,-38.7899,-52.6655,-25.1744,89,30,0,-0.4519,medium,1.2e-07,8.42e-07,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,1046.2773,1002.9496,-43.3277,-64.3826,-23.4609,82,37,0,-0.2684,small,3.75e-05,0.000225,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_llm_eval,generation time (ms),runtime,lower,119,238.2689,221.9412,-16.3277,-38.0947,6.2357,67,51,1,-0.1068,negligible,0.144,0.72,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,226.0084,218.563,-7.4454,-25.8681,10.0538,56,60,3,-0.0538,negligible,0.646,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_ttfa,time to first audio (ms),runtime,lower,119,1652.4454,3145.3697,1492.9244,1406.6401,1580.2227,0,119,0,0.7339,large,2.92e-21,2.63e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_tts_total,total synthesis (ms),runtime,lower,119,281.7983,265.2437,-16.5546,-44.6754,11.6065,63,55,1,-0.1136,negligible,0.226,0.905,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7702.0756,9004.3025,1302.2269,1243.5315,1360.9649,0,119,0,0.4891,large,2.92e-21,2.63e-20,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,degraded
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,85.9303,86.5487,0.6185,-1.3606,2.4928,56,62,1,0.0489,negligible,0.8,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7471.7899,7683.9412,212.1513,204.9744,219.5044,0,0,119,0.0914,negligible,2.91e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.9412,1919.1176,1543.1765,1464.6282,1622.3998,0,0,119,0.735,large,2.92e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,180.6891,176.1513,-4.5378,-20.2813,11.2025,0,0,119,-0.0192,negligible,0.701,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,322.5042,322.3445,-0.1597,-0.3445,0.0252,0,0,119,-0.0189,negligible,0.122,,False,,,"Wilcoxon signed-rank, normal approximation",50,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,llm_eval_tokens,generated tokens,runtime,descriptive,119,20.8908,19.6639,-1.2269,-3.3113,0.9164,0,0,119,-0.0922,negligible,0.245,,False,,,"Wilcoxon signed-rank, normal approximation",93,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,5556.3613,5237.4454,-318.916,-922.3208,310.7216,0,0,119,-0.0868,negligible,0.336,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::answers_in_english,check: answers_in_english,adherence,higher,80,0.9875,0.9625,-0.025,-0.075,0.025,1,3,76,,n/a,0.625,1.0,False,,,"McNemar, exact binomial",4,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.6333,0.875,0.2417,0.15,0.3333,33,4,83,,n/a,4.16e-06,7.07e-05,True,,,"McNemar, chi-square with continuity correction",37,improved
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.1583,0.1083,-0.05,-0.125,0.025,8,14,98,,n/a,0.286,1.0,False,,,"McNemar, exact binomial",22,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::opener_ends_with_full_stop,check: opener_ends_with_full_stop,adherence,higher,120,0.85,0.9917,0.1417,0.0833,0.2083,17,0,103,,n/a,1.53e-05,0.000244,True,,,"McNemar, exact binomial",17,improved
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::response_is_complete,check: response_is_complete,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::spoken_duration_budget,check: spoken_duration_budget,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
03 llama3.2:3b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,check::total_sentences_at_most_three,check: total_sentences_at_most_three,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
